date,chain,alpha,mu_reduction_%,baseline
2025-10-12,solana,0.25,28.51,uniform
2025-10-12,sui,0.25,17.46,uniform
2025-10-12,tezos,0.25,28.98,uniform
2025-10-13,avalanche,0.25,27.48,uniform
2025-10-13,celestia,0.25,22.88,uniform
2025-10-13,cosmoshub,0.25,27.91,uniform
2025-10-13,injective,0.25,21.24,uniform
2025-10-13,near,0.25,27.62,uniform
2025-10-13,osmosis,0.25,21.88,uniform
2025-10-13,sei,0.25,16.7,uniform
2025-10-13,solana,0.25,28.5,uniform
2025-10-13,sui,0.25,17.36,uniform
2025-10-13,tezos,0.25,28.99,uniform
2025-10-14,avalanche,0.25,27.48,uniform
2025-10-14,celestia,0.25,22.88,uniform
2025-10-14,cosmoshub,0.25,27.91,uniform
2025-10-14,injective,0.25,21.24,uniform
2025-10-14,near,0.25,27.62,uniform
2025-10-14,osmosis,0.25,21.83,uniform
2025-10-14,sei,0.25,16.7,uniform
2025-10-14,solana,0.25,28.5,uniform
2025-10-14,sui,0.25,17.35,uniform
2025-10-14,tezos,0.25,28.99,uniform
2025-10-15,avalanche,0.25,27.47,uniform
2025-10-15,celestia,0.25,22.84,uniform
2025-10-15,cosmoshub,0.25,28.24,uniform
2025-10-15,injective,0.25,21.26,uniform
2025-10-15,near,0.25,27.61,uniform
2025-10-15,osmosis,0.25,21.82,uniform
2025-10-15,sei,0.25,16.7,uniform
2025-10-15,solana,0.25,28.48,uniform
2025-10-15,sui,0.25,17.35,uniform
2025-10-15,tezos,0.25,28.8,uniform
2025-10-16,avalanche,0.25,27.4,uniform
2025-10-16,celestia,0.25,22.37,uniform
2025-10-16,cosmoshub,0.25,28.24,uniform
2025-10-16,injective,0.25,21.26,uniform
2025-10-16,near,0.25,27.66,uniform
2025-10-16,osmosis,0.25,21.82,uniform
2025-10-16,sei,0.25,16.4,uniform
2025-10-16,solana,0.25,28.48,uniform
2025-10-16,sui,0.25,17.37,uniform
2025-10-16,tezos,0.25,28.86,uniform
2025-10-17,avalanche,0.25,27.42,uniform
2025-10-17,celestia,0.25,22.34,uniform
2025-10-17,cosmoshub,0.25,28.25,uniform
2025-10-17,injective,0.25,21.26,uniform
2025-10-17,near,0.25,27.67,uniform
2025-10-17,osmosis,0.25,21.82,uniform
2025-10-17,sei,0.25,16.4,uniform
2025-10-17,solana,0.25,28.5,uniform
2025-10-17,sui,0.25,17.38,uniform
2025-10-17,tezos,0.25,29.06,uniform
2025-10-18,avalanche,0.25,27.45,uniform
2025-10-18,celestia,0.25,22.83,uniform
2025-10-18,cosmoshub,0.25,28.25,uniform
2025-10-18,injective,0.25,21.24,uniform
2025-10-18,near,0.25,27.7,uniform
2025-10-18,osmosis,0.25,21.82,uniform
2025-10-18,sei,0.25,16.4,uniform
2025-10-18,solana,0.25,28.5,uniform
2025-10-18,sui,0.25,17.48,uniform
2025-10-18,tezos,0.25,29.06,uniform
2025-10-19,avalanche,0.25,27.45,uniform
2025-10-19,celestia,0.25,22.83,uniform
2025-10-19,cosmoshub,0.25,28.25,uniform
2025-10-19,injective,0.25,21.23,uniform
2025-10-19,near,0.25,27.7,uniform
2025-10-19,osmosis,0.25,21.81,uniform
2025-10-19,sei,0.25,16.42,uniform
2025-10-19,solana,0.25,28.48,uniform
2025-10-19,sui,0.25,17.48,uniform
2025-10-19,tezos,0.25,29.06,uniform
2025-10-20,avalanche,0.25,27.36,uniform
2025-10-20,celestia,0.25,22.83,uniform
2025-10-20,cosmoshub,0.25,28.25,uniform
2025-10-20,injective,0.25,21.2,uniform
2025-10-20,near,0.25,27.7,uniform
2025-10-20,osmosis,0.25,21.82,uniform
2025-10-20,sei,0.25,16.42,uniform
2025-10-20,solana,0.25,28.48,uniform
2025-10-20,sui,0.25,17.49,uniform
2025-10-20,tezos,0.25,29.06,uniform
2025-10-21,avalanche,0.25,27.4,uniform
2025-10-21,celestia,0.25,22.22,uniform
2025-10-21,cosmoshub,0.25,28.26,uniform
2025-10-21,injective,0.25,21.21,uniform
2025-10-21,near,0.25,27.71,uniform
2025-10-21,osmosis,0.25,21.77,uniform
2025-10-21,sei,0.25,16.4,uniform
2025-10-21,solana,0.25,28.47,uniform
2025-10-21,sui,0.25,17.48,uniform
2025-10-21,tezos,0.25,28.86,uniform
2025-10-22,avalanche,0.25,27.4,uniform
2025-10-22,celestia,0.25,22.17,uniform
2025-10-22,cosmoshub,0.25,28.26,uniform
2025-10-22,injective,0.25,21.5,uniform
2025-10-22,near,0.25,27.77,uniform
2025-10-22,osmosis,0.25,21.77,uniform
2025-10-22,sei,0.25,16.41,uniform
2025-10-22,solana,0.25,28.47,uniform
2025-10-22,sui,0.25,17.54,uniform
2025-10-22,tezos,0.25,28.86,uniform
2025-10-23,avalanche,0.25,27.45,uniform
2025-10-23,celestia,0.25,22.24,uniform
2025-10-23,cosmoshub,0.25,28.26,uniform
2025-10-23,injective,0.25,21.52,uniform
2025-10-23,near,0.25,27.78,uniform
2025-10-23,osmosis,0.25,21.83,uniform
2025-10-23,sei,0.25,15.72,uniform
2025-10-23,solana,0.25,28.48,uniform
2025-10-23,sui,0.25,17.55,uniform
2025-10-23,tezos,0.25,28.86,uniform
2025-10-24,avalanche,0.25,27.41,uniform
2025-10-24,celestia,0.25,22.24,uniform
2025-10-24,cosmoshub,0.25,28.26,uniform
2025-10-24,injective,0.25,21.5,uniform
2025-10-24,near,0.25,27.77,uniform
2025-10-24,osmosis,0.25,21.85,uniform
2025-10-24,sei,0.25,15.8,uniform
2025-10-24,solana,0.25,28.47,uniform
2025-10-24,sui,0.25,17.55,uniform
2025-10-24,tezos,0.25,28.86,uniform
2025-10-25,avalanche,0.25,27.41,uniform
2025-10-25,celestia,0.25,22.27,uniform
2025-10-25,cosmoshub,0.25,28.26,uniform
2025-10-25,injective,0.25,21.52,uniform
2025-10-25,near,0.25,27.79,uniform
2025-10-25,osmosis,0.25,21.91,uniform
2025-10-25,sei,0.25,15.82,uniform
2025-10-25,solana,0.25,28.44,uniform
2025-10-25,sui,0.25,17.55,uniform
2025-10-25,tezos,0.25,28.87,uniform
2025-10-26,avalanche,0.25,27.4,uniform
2025-10-26,celestia,0.25,22.25,uniform
2025-10-26,cosmoshub,0.25,28.26,uniform
2025-10-26,injective,0.25,21.52,uniform
2025-10-26,near,0.25,27.82,uniform
2025-10-26,osmosis,0.25,21.9,uniform
2025-10-26,sei,0.25,15.82,uniform
2025-10-26,solana,0.25,28.44,uniform
2025-10-26,sui,0.25,17.54,uniform
2025-10-26,tezos,0.25,28.87,uniform
