date,chain,alpha,bound_reduction_%,mu_reduction_%
2025-09-15,celestia,0.3,29.94,22.6
2025-09-15,cosmoshub,0.3,68.7,27.66
2025-09-15,injective,0.3,15.2,20.59
2025-09-15,near,0.3,88.93,27.32
2025-09-15,osmosis,0.3,27.73,20.62
2025-09-15,sei,0.3,4.51,16.81
2025-09-15,solana,0.3,99.94,28.14
2025-09-15,sui,0.3,32.04,16.95
2025-09-15,tezos,0.3,62.57,28.67
2025-09-15,avalanche,0.33,97.89,27.16
2025-09-15,celestia,0.33,18.14,22.21
2025-09-15,cosmoshub,0.33,45.83,27.45
2025-09-15,injective,0.33,4.68,19.99
2025-09-15,near,0.33,62.94,27.09
2025-09-15,osmosis,0.33,16.55,20.36
2025-09-15,sei,0.33,4.51,16.81
2025-09-15,solana,0.33,99.06,28.02
2025-09-15,sui,0.33,17.07,16.66
2025-09-15,tezos,0.33,62.57,28.67
2025-09-16,avalanche,0.2,100.0,27.63
2025-09-16,celestia,0.2,69.65,23.67
2025-09-16,cosmoshub,0.2,94.82,28.15
2025-09-16,injective,0.2,46.12,21.83
2025-09-16,near,0.2,99.65,27.65
2025-09-16,osmosis,0.2,70.15,21.95
2025-09-16,sei,0.2,25.68,17.58
2025-09-16,solana,0.2,100.0,28.52
2025-09-16,sui,0.2,72.89,18.08
2025-09-16,tezos,0.2,98.78,29.01
2025-09-16,avalanche,0.25,100.0,27.51
2025-09-16,celestia,0.25,55.87,23.37
2025-09-16,cosmoshub,0.25,85.52,27.88
2025-09-16,injective,0.25,28.45,21.3
2025-09-16,near,0.25,95.52,27.45
2025-09-16,osmosis,0.25,49.8,21.21
2025-09-16,sei,0.25,14.1,17.19
2025-09-16,solana,0.25,100.0,28.31
2025-09-16,sui,0.25,53.38,17.46
2025-09-16,tezos,0.25,90.11,28.84
2025-09-16,avalanche,0.3,99.79,27.34
2025-09-16,celestia,0.3,30.47,22.57
2025-09-16,cosmoshub,0.3,68.58,27.67
2025-09-16,injective,0.3,15.18,20.59
2025-09-16,near,0.3,89.54,27.34
2025-09-16,osmosis,0.3,27.72,20.62
2025-09-16,sei,0.3,4.43,16.83
2025-09-16,solana,0.3,99.94,28.14
2025-09-16,sui,0.3,32.01,16.95
2025-09-16,tezos,0.3,63.22,28.68
2025-09-16,avalanche,0.33,98.04,27.26
2025-09-16,celestia,0.33,18.63,22.19
2025-09-16,cosmoshub,0.33,45.72,27.46
2025-09-16,injective,0.33,4.67,20.0
2025-09-16,near,0.33,64.14,27.12
2025-09-16,osmosis,0.33,16.54,20.36
2025-09-16,sei,0.33,4.43,16.83
2025-09-16,solana,0.33,99.06,28.02
2025-09-16,sui,0.33,17.03,16.66
2025-09-16,tezos,0.33,63.22,28.68
2025-09-17,avalanche,0.2,100.0,27.61
2025-09-17,celestia,0.2,69.59,23.67
2025-09-17,cosmoshub,0.2,94.75,28.15
2025-09-17,injective,0.2,46.1,21.83
2025-09-17,near,0.2,99.65,27.64
2025-09-17,osmosis,0.2,69.66,22.02
2025-09-17,sei,0.2,25.52,17.64
2025-09-17,solana,0.2,100.0,28.62
2025-09-17,sui,0.2,72.89,18.08
2025-09-17,tezos,0.2,99.01,28.99
2025-09-17,avalanche,0.25,100.0,27.48
2025-09-17,celestia,0.25,55.75,23.38
2025-09-17,cosmoshub,0.25,85.36,27.89
2025-09-17,injective,0.25,28.43,21.3
2025-09-17,near,0.25,95.55,27.45
2025-09-17,osmosis,0.25,59.8,21.61
2025-09-17,sei,0.25,13.9,17.24
2025-09-17,solana,0.25,100.0,28.42
2025-09-17,sui,0.25,53.38,17.46
2025-09-17,tezos,0.25,91.39,28.81
2025-09-17,avalanche,0.3,99.78,27.31
2025-09-17,celestia,0.3,30.74,22.56
2025-09-17,cosmoshub,0.3,68.3,27.67
2025-09-17,injective,0.3,15.16,20.59
2025-09-17,near,0.3,89.61,27.34
2025-09-17,osmosis,0.3,27.2,20.65
2025-09-17,sei,0.3,4.23,16.89
2025-09-17,solana,0.3,99.95,28.23
2025-09-17,sui,0.3,32.04,16.95
2025-09-17,tezos,0.3,66.48,28.66
2025-09-17,avalanche,0.33,97.97,27.23
2025-09-17,celestia,0.33,18.87,22.17
2025-09-17,cosmoshub,0.33,45.42,27.46
